domain,va_mode,seed,best_thresh,cF1,cPrec,cRec,VA_pct,n_matched,V_MAE,A_MAE,Joint_L2,V_PCC,A_PCC,V_Quad_F1,A_Quad_F1,VA_Quad_F1
eng_restaurant,opinion_guided,42,-0.5,0.507,0.5929,0.4428,94.25,555,0.4107,0.4583,0.6532,0.9485,0.7838,0.3476,0.335,0.2717
eng_restaurant,opinion_guided,66,-0.3,0.5337,0.6166,0.4705,94.33,586,0.4127,0.4486,0.6418,0.9435,0.7773,0.3472,0.3414,0.2768
eng_restaurant,opinion_guided,123,-0.5,0.5256,0.6237,0.4541,94.27,567,0.4056,0.4582,0.6482,0.944,0.7756,0.3443,0.3346,0.2745
eng_restaurant,span_pair,42,-0.5,0.5325,0.6248,0.464,94.32,580,0.4043,0.4621,0.6458,0.9436,0.7535,0.3602,0.3467,0.287
eng_restaurant,span_pair,66,-1.0,0.5208,0.5716,0.4783,93.99,599,0.4202,0.49,0.6797,0.945,0.753,0.3398,0.3278,0.2685
eng_restaurant,span_pair,123,-1.0,0.5117,0.5842,0.4552,93.99,570,0.4272,0.488,0.6803,0.9457,0.7431,0.3443,0.3156,0.2707
