domain,va_mode,seed,best_thresh,cF1,cPrec,cRec,VA_pct,n_matched,V_MAE,A_MAE,Joint_L2,V_PCC,A_PCC,V_Quad_F1,A_Quad_F1,VA_Quad_F1
eng_laptop,position,42,-1.0,0.4009,0.4581,0.3565,93.72,604,0.4543,0.495,0.7098,0.9287,0.7246,0.2429,0.2274,0.1788
eng_laptop,position,66,-0.5,0.3992,0.4917,0.336,93.72,571,0.465,0.4877,0.7095,0.9237,0.7281,0.2313,0.2254,0.1763
eng_laptop,position,123,-0.1,0.4043,0.5204,0.3306,93.68,561,0.4679,0.4918,0.7152,0.9192,0.7142,0.2374,0.2305,0.1822
eng_laptop,span_pair,42,-1.5,0.4014,0.4472,0.3642,94.2,615,0.4047,0.4752,0.6552,0.9474,0.7703,0.247,0.2408,0.1883
eng_laptop,span_pair,66,-1.0,0.4028,0.485,0.3444,94.1,582,0.4208,0.4758,0.6666,0.9423,0.7573,0.254,0.2482,0.2006
eng_laptop,span_pair,123,0.0,0.4088,0.5172,0.3379,94.42,570,0.3902,0.4529,0.6296,0.9478,0.7642,0.2454,0.2378,0.1863
eng_laptop,opinion_guided,42,-1.5,0.4039,0.4313,0.3799,94.29,641,0.3911,0.4703,0.6453,0.9525,0.765,0.2502,0.2336,0.1844
eng_laptop,opinion_guided,66,-0.1,0.4036,0.5216,0.3291,94.42,554,0.3936,0.452,0.6298,0.9475,0.7598,0.2603,0.2411,0.1958
eng_laptop,opinion_guided,123,-0.3,0.3863,0.5218,0.3067,94.61,516,0.3827,0.432,0.6071,0.9476,0.7674,0.2539,0.2429,0.1979
