domain,va_mode,seed,best_thresh,cF1,cPrec,cRec,VA_pct,n_matched,V_MAE,A_MAE,Joint_L2,V_PCC,A_PCC,V_Quad_F1,A_Quad_F1,VA_Quad_F1
eng_restaurant,position,7,-0.1,0.5236,0.6312,0.4473,93.84,561,0.453,0.4819,0.6967,0.9267,0.7402,0.3254,0.3274,0.2577
eng_restaurant,position,42,-1.5,0.5333,0.5859,0.4893,93.65,614,0.4687,0.4937,0.7179,0.9274,0.7308,0.3363,0.3214,0.2594
eng_restaurant,position,66,-1.0,0.5236,0.5808,0.4766,93.66,599,0.4751,0.4877,0.7176,0.9246,0.7349,0.3185,0.3307,0.2504
eng_restaurant,position,123,0.0,0.5212,0.6165,0.4515,93.89,566,0.4455,0.4813,0.6916,0.9362,0.7158,0.3356,0.3199,0.2561
eng_restaurant,position,2045,-0.1,0.5168,0.6092,0.4487,93.98,562,0.4333,0.4796,0.6812,0.9364,0.7381,0.3279,0.3123,0.2535
